"week","game","home_team","away_team","home_base_epa","away_base_epa","home_adjusted_epa","away_adjusted_epa","net_home_advantage","projected_margin","estimated_pace","projected_total","weather_impact","is_dome","home_days_rest","away_days_rest","is_thursday","total_weather_adj","total_injury_adj","total_rest_adj","spread_lean","confidence","notes","prediction_type","matchup_key","model_line","actual_home_score","actual_away_score","actual_margin","actual_winner","actual_total","home_won","predicted_winner","correct_winner","margin_error","squared_error","prediction_bias","abs_projected","abs_actual","close_game","blowout","projected_close","has_confidence"
5,"SF at LA","LA","SF",0,0,0,0,0,2.5,71.5,45,0,FALSE,4,18,TRUE,0,0,0,"Even matchup","VERY LOW","⚠️ Thursday game (short rest)","enhanced","SF at LA",NA,23,26,-3,"SF",49,FALSE,"LA",FALSE,5.5,30.25,5.5,2.5,3,TRUE,FALSE,TRUE,TRUE
5,"MIN at CLE","CLE","MIN",0,0,0,0,0,2.5,61.5,45,0,FALSE,14,7,FALSE,0,0,0,"Even matchup","VERY LOW","⚠️ Rest advantage","enhanced","MIN at CLE",NA,17,21,-4,"MIN",38,FALSE,"CLE",FALSE,6.5,42.25,6.5,2.5,4,TRUE,FALSE,TRUE,TRUE
5,"HOU at BAL","BAL","HOU",0,0,0,0,0,2.5,50,45,0,FALSE,13,14,FALSE,0,0,0,"Even matchup","VERY LOW","","enhanced","HOU at BAL",NA,10,44,-34,"HOU",54,FALSE,"BAL",FALSE,36.5,1332.25,36.5,2.5,34,FALSE,TRUE,TRUE,TRUE
5,"MIA at CAR","CAR","MIA",0,0,0,0,0,2.5,56.5,45,0,FALSE,14,17,FALSE,0,0,0,"Even matchup","VERY LOW","","enhanced","MIA at CAR",NA,27,24,3,"CAR",51,TRUE,"CAR",TRUE,0.5,0.25,-0.5,2.5,3,TRUE,FALSE,TRUE,TRUE
5,"LV at IND","IND","LV",0,0,0,0,0,2.5,62,45,0,FALSE,21,14,FALSE,0,0,0,"Even matchup","VERY LOW","⚠️ Rest advantage","enhanced","LV at IND",NA,40,6,34,"IND",46,TRUE,"IND",TRUE,31.5,992.25,-31.5,2.5,34,FALSE,TRUE,TRUE,TRUE
5,"NYG at NO","NO","NYG",0,0,0,0,0,2.5,64,45,0,FALSE,21,21,FALSE,0,0,0,"Even matchup","VERY LOW","","enhanced","NYG at NO",NA,26,14,12,"NO",40,TRUE,"NO",TRUE,9.5,90.25,-9.5,2.5,12,FALSE,FALSE,TRUE,TRUE
5,"DAL at NYJ","NYJ","DAL",0,0,0,0,0,2.5,62.5,45,0,FALSE,21,14,FALSE,0,0,0,"Even matchup","VERY LOW","⚠️ Rest advantage","enhanced","DAL at NYJ",NA,22,37,-15,"DAL",59,FALSE,"NYJ",FALSE,17.5,306.25,17.5,2.5,15,FALSE,TRUE,TRUE,TRUE
5,"DEN at PHI","PHI","DEN",0,0,0,0,0,2.5,61.5,45,0,FALSE,14,14,FALSE,0,0,0,"Even matchup","VERY LOW","","enhanced","DEN at PHI",NA,17,21,-4,"DEN",38,FALSE,"PHI",FALSE,6.5,42.25,6.5,2.5,4,TRUE,FALSE,TRUE,TRUE
5,"TEN at ARI","ARI","TEN",0,0,0,0,0,2.5,61.5,45,0,TRUE,10,7,FALSE,0,0,0,"Even matchup","VERY LOW","","enhanced","TEN at ARI",NA,21,22,-1,"TEN",43,FALSE,"ARI",FALSE,3.5,12.25,3.5,2.5,1,TRUE,FALSE,TRUE,TRUE
5,"TB at SEA","SEA","TB",0,0,0,0,0,2.5,55,45,0,FALSE,14,20,FALSE,0,0,0,"Even matchup","VERY LOW","⚠️ Rest advantage","enhanced","TB at SEA",NA,35,38,-3,"TB",73,FALSE,"SEA",FALSE,5.5,30.25,5.5,2.5,3,TRUE,FALSE,TRUE,TRUE
5,"DET at CIN","CIN","DET",0,0,0,0,0,2.5,57,45,0,FALSE,21,13,FALSE,0,0,0,"Even matchup","VERY LOW","⚠️ Rest advantage","enhanced","DET at CIN",NA,24,37,-13,"DET",61,FALSE,"CIN",FALSE,15.5,240.25,15.5,2.5,13,FALSE,FALSE,TRUE,TRUE
5,"WAS at LAC","LAC","WAS",0,0,0,0,0,2.5,57,45,0,FALSE,14,7,FALSE,0,0,0,"Even matchup","VERY LOW","⚠️ Rest advantage","enhanced","WAS at LAC",NA,10,27,-17,"WAS",37,FALSE,"LAC",FALSE,19.5,380.25,19.5,2.5,17,FALSE,TRUE,TRUE,TRUE
5,"NE at BUF","BUF","NE",0,0,0,0,0,2.5,57,45,0,FALSE,7,21,FALSE,0,0,0,"Even matchup","VERY LOW","⚠️ Rest advantage","enhanced","NE at BUF",NA,20,23,-3,"NE",43,FALSE,"BUF",FALSE,5.5,30.25,5.5,2.5,3,TRUE,FALSE,TRUE,TRUE
5,"KC at JAX","JAX","KC",0,0,0,0,0,2.5,56.5,45,0,FALSE,15,15,FALSE,0,0,0,"Even matchup","VERY LOW","","enhanced","KC at JAX",NA,31,28,3,"JAX",59,TRUE,"JAX",TRUE,0.5,0.25,-0.5,2.5,3,TRUE,FALSE,TRUE,TRUE
6,"PHI at NYG","NYG","PHI",0,0,0,0,0,2.5,59,45,0,FALSE,11,11,TRUE,0,0,0,"Even matchup","LOW","⚠️ Thursday game (short rest)","enhanced","PHI at NYG",NA,34,17,17,"NYG",51,TRUE,"NYG",TRUE,14.5,210.25,-14.5,2.5,17,FALSE,TRUE,TRUE,TRUE
